,count,mean,std,min,25%,50%,75%,max
annual mean wage,79.0,100222.78481012658,23059.983484366454,51400.0,84395.0,102210.0,115610.0,156700.0
annual median wage,79.0,95284.6835443038,23889.866365525664,47850.0,77475.0,99000.0,107520.0,156560.0
employment,79.0,1802.7848101265822,2842.453317709203,30.0,150.0,650.0,1940.0,14230.0
location quotient,79.0,0.8682278466375568,0.40879673251697785,0.14000000059604645,0.5649999976158142,0.8700000047683716,1.100000023841858,1.9500000476837158
